Year,ChickPrice,BeefPrice,BeefConsump,CPI,DPI,RealChickenPrice,RealBeefPrice,RealDPI,(RDPI-Mean)^sq
1965,37.24501,59.5,99.5,31.5,2505,118.2381,188.8889,7952.381,63240363
1966,39.44151,62.2,104.1,32.4,2675,121.733,191.9753,8256.173,68164390
1967,36.38551,60.7,106.5,33.4,2828,108.9386,181.7365,8467.066,71691204
1968,38.00901,63.5,109.7,34.8,3037,109.2213,182.4713,8727.011,76160730
1969,40.30101,70.4,110.8,36.7,3239,109.812,191.8256,8825.613,77891446
1970,38.96401,72.5,113.5,38.8,3489,100.4227,186.8557,8992.268,80860885
1971,40.51104,75,112.7,40.5,3740,100.0273,185.1852,9234.568,85277244
1972,41.86141,82.1,115.5,41.8,4000,100.1469,196.4115,9569.378,91572995
1973,54.98698,102.8,108.8,44.4,4481,123.8446,231.5315,10092.34,1.02E+08
1974,53.2045,102.1,115.7,49.3,4855,107.9199,207.0994,9847.87,96980547
1975,59.36217,102.8,118.8,53.8,5291,110.3386,191.0781,9834.572,96718816
1976,59.7,96.9,127.5,56.9,5744,104.9209,170.2988,10094.9,1.02E+08
1977,60.1,92,124,60.6,6262,99.17492,151.8152,10333.33,1.07E+08
1978,66.5,124.0189,117.9,65.2,6968,101.9939,190.213,10687.12,1.14E+08
1979,68,154.0015,105.5,72.6,7682,93.66391,212.1232,10581.27,1.12E+08
1980,72,162.1785,103.4,82.4,8421,87.37864,196.8186,10219.66,1.04E+08
1981,73.7,162.8599,104.3,90.9,9243,81.07811,179.1639,10168.32,1.03E+08
1982,71.6,165.5856,103.7,96.5,9724,74.19689,171.5913,10076.68,1.02E+08
1983,72.8,162.1785,105.7,99.6,10340,73.09237,162.8298,10381.53,1.08E+08
1984,81.4,163.5414,105.5,103.9,11257,78.34456,157.4027,10834.46,1.17E+08
1985,76,158.7714,106.5,107.6,11861,70.63197,147.5571,11023.23,1.22E+08
1986,84,157.4086,107.3,109.6,12469,76.64234,143.621,11376.82,1.29E+08
1987,78,164.9042,103.3,113.6,13094,68.66197,145.1622,11526.41,1.33E+08
1988,85.37,250.3417,102.7986,118.3,14477,72.16399,211.6159,12237.53,1.50E+08
1989,92.7,265.6583,97.6668,124,15307,74.75806,214.2406,12344.35,1.52E+08
1990,89.92,281.0167,95.7948,130.7,16205,68.79878,215.0089,12398.62,1.54E+08
1991,88.03,288.325,94.85576,136.2,16766,64.63289,211.6924,12309.84,1.52E+08
1992,86.92,284.6083,94.14389,140.3,17636,61.95296,202.857,12570.21,1.58E+08
1993,89.02,293.4417,92.00207,144.5,18153,61.60554,203.0738,12562.63,1.58E+08
1994,90.09,282.875,95.16543,148.2,19003,60.78947,190.8738,12822.54,1.64E+08
1995,91.67,284.3333,95.54054,152.4,20604,60.15092,186.5704,13519.69,1.83E+08
1996,97.27,280.2333,95.69209,156.9,21375,61.9949,178.6063,13623.33,1.86E+08
1997,100.19,279.5333,93.61479,160.5,22312,62.42368,174.1641,13901.56,1.93E+08
1998,104.37,277.1167,95.00751,163,23016,64.03067,170.0102,14120.25,1.99E+08
1999,105.59,287.7608,96.16141,166.6,23693,63.37935,172.7256,14221.49,2.02E+08
2000,107.12,306.4,96.46501,172.2,24908,62.20674,177.9326,14464.58,2.09E+08
